Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
995,The Spy Who Loved Me,1977,7.1,"103,630","Action, Adventure, Thriller",125 ,Film,Mild,Moderate,Mild,Mild,Mild
996,Jagten,2012,8.3,"304,947",Drama,115 ,Film,Moderate,Moderate,Moderate,Mild,Moderate
997,Grown Ups 2,2013,5.4,"146,810",Comedy,101 ,Film,Moderate,Mild,Moderate,Mild,None
998,The Conjuring 2,2016,7.3,"249,635","Horror, Mystery, Thriller",134 ,Film,None,Moderate,Mild,Mild,Severe
999,Tombstone,1993,7.8,"136,620","Action, Biography, Drama",130 ,Film,Mild,Moderate,Mild,Moderate,Moderate
1000,Mr Inbetween,1993,8.6,"11,878","Crime, Drama",30 ,Series,Mild,Severe,Severe,Moderate,Moderate
1001,Fantastic Beasts The Crimes of Grindelwald,2018,6.5,"239,768","Adventure, Family, Fantasy",134 ,Film,None,Moderate,Mild,Mild,Moderate
1002,Labyrinth,1986,7.4,"129,944","Adventure, Family, Fantasy",101 ,Film,None,Mild,Mild,None,Mild
1003,Super 8,2011,7.0,"346,199","Mystery, Sci-Fi, Thriller",112 ,Film,None,Moderate,Moderate,Mild,Moderate
1004,Love Actually,2003,7.6,"448,625","Comedy, Drama, Romance",135 ,Film,Moderate,None,Moderate,Mild,Mild
1005,Agatha Christies Marple,2003,7.8,"7,249","Crime, Drama, Mystery",93 ,Series,Mild,Mild,None,Mild,Moderate
1006,Willys Wonderland,2021,5.5,"21,180","Action, Comedy, Horror",88 ,Film,Mild,Severe,Moderate,Mild,Moderate
1007,The Faculty,1998,6.5,"116,887","Horror, Mystery, Sci-Fi",104 ,Film,Mild,Severe,Severe,Moderate,Moderate
1008,The Pianist,2002,8.5,"773,575","Biography, Drama, Music",150 ,Film,None,Severe,Mild,Mild,Severe
1009,Salinui chueok,2003,8.1,"160,172","Crime, Drama, Mystery",131 ,Film,Moderate,Moderate,Moderate,Mild,Moderate
1010,Harry Potter and the HalfBlood Prince,2009,7.6,"501,363","Action, Adventure, Family",153 ,Film,None,Moderate,Mild,Mild,Moderate
1011,Kims Convenience,2009,8.2,"14,126",Comedy,22 ,Series,Mild,None,Mild,Mild,None
1012,Heroes,2009,7.5,"234,272","Drama, Fantasy, Sci-Fi",45 ,Series,Mild,Severe,Moderate,Moderate,Severe
1013,Q,2011,5.5,"6,680","Drama, Romance",103 ,Film,Severe,Mild,Moderate,Moderate,Mild
1014,The Glass Wall,1953,6.9,928,"Drama, Film-Noir",82 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
1015,The Devils Advocate,1997,7.5,"348,744","Drama, Mystery, Thriller",144 ,Film,Severe,Severe,Severe,Moderate,Severe
1016,Jessica Jones,1997,7.9,"200,880","Action, Crime, Drama",56 ,Series,Moderate,Moderate,Moderate,Moderate,Moderate
1017,Cruel Intentions,1999,6.8,"185,784","Drama, Romance",97 ,Film,Moderate,Mild,Moderate,Moderate,None
1018,The Hunger Games Catching Fire,2013,7.5,"634,465","Action, Drama, Mystery",146 ,Film,Mild,Moderate,Mild,Mild,Moderate
